Date,Ticker,Open,High,Low,Close
1/3/00,AAPL,0.936383929,1.004464286,0.907924107,0.999441964
1/4/00,AAPL,0.966517857,0.987723214,0.903459821,0.915178571
1/5/00,AAPL,0.926339286,0.987165179,0.919642857,0.928571429
1/6/00,AAPL,0.947544643,0.955357143,0.848214286,0.848214286
1/7/00,AAPL,0.861607143,0.901785714,0.852678571,0.888392857
1/10/00,AAPL,0.910714286,0.912946429,0.845982143,0.872767857
1/11/00,AAPL,0.856584821,0.887276786,0.808035714,0.828125
1/12/00,AAPL,0.848214286,0.852678571,0.772321429,0.778459821
1/13/00,AAPL,0.843610491,0.881696429,0.825892857,0.863839286
1/14/00,AAPL,0.892857143,0.912946429,0.887276786,0.896763393
1/18/00,AAPL,0.901785714,0.946428571,0.896763393,0.928013393
1/19/00,AAPL,0.943080357,0.970982143,0.922991071,0.951450893
1/20/00,AAPL,1.03125,1.084821429,1.013392857,1.013392857
1/21/00,AAPL,1.020089286,1.020089286,0.983816964,0.993861607
1/24/00,AAPL,0.968191964,1.006696429,0.938616071,0.948660714
1/25/00,AAPL,0.9375,1.010044643,0.9140625,1.002232143
1/26/00,AAPL,0.982142857,1.01953125,0.979910714,0.983816964
1/27/00,AAPL,0.971540179,1.008928571,0.955357143,0.982142857
1/28/00,AAPL,0.965959821,0.989955357,0.8984375,0.907366071
1/31/00,AAPL,0.901785714,0.927455357,0.84375,0.926339286
2/1/00,AAPL,0.928571429,0.9375,0.892857143,0.895089286
2/2/00,AAPL,0.899553571,0.911830357,0.866071429,0.882254464
2/3/00,AAPL,0.895647321,0.930803571,0.895089286,0.922433036
2/4/00,AAPL,0.928013393,0.982142857,0.925223214,0.964285714
2/7/00,AAPL,0.964285714,1.020089286,0.945870536,1.018415179
2/8/00,AAPL,1.017857143,1.036830357,0.993303571,1.025669643
2/9/00,AAPL,1.018973214,1.045758929,1.00390625,1.005580357
2/10/00,AAPL,1.0078125,1.016741071,0.982142857,1.013392857
2/11/00,AAPL,1.014508929,1.018973214,0.966517857,0.970982143
2/14/00,AAPL,0.976004464,1.034598214,0.969866071,1.034040179
2/15/00,AAPL,1.029017857,1.070870536,1.028459821,1.0625
2/16/00,AAPL,1.051339286,1.0546875,1.001116071,1.018973214
2/17/00,AAPL,1.028459821,1.03125,1.010044643,1.025669643
2/18/00,AAPL,1.0234375,1.030133929,0.989955357,0.993303571
2/22/00,AAPL,0.983258929,1.044084821,0.952566964,1.016183036
2/23/00,AAPL,1.011021205,1.0625,0.991071429,1.037946429
2/24/00,AAPL,1.047433036,1.063616071,0.997767857,1.02859933
2/25/00,AAPL,1.025111607,1.044642857,0.983258929,0.985491071
2/28/00,AAPL,0.983258929,1.026785714,0.967633929,1.011160714
2/29/00,AAPL,1.013950893,1.046875,1.005022321,1.0234375
3/1/00,AAPL,1.05859375,1.179129464,1.058035714,1.163504464
3/2/00,AAPL,1.133928571,1.142299107,1.077566964,1.089285714
3/3/00,AAPL,1.114955357,1.144949777,1.071428571,1.142857143
3/6/00,AAPL,1.125,1.152901786,1.116071429,1.122209821
3/7/00,AAPL,1.12890625,1.137834821,1.081473214,1.097098214
3/8/00,AAPL,1.097098214,1.106584821,1.05859375,1.089285714
3/9/00,AAPL,1.079241071,1.116071429,1.055803571,1.091517857
3/10/00,AAPL,1.086495536,1.142299107,1.080357143,1.122767857
3/13/00,AAPL,1.090401786,1.129464286,1.066964286,1.083147321
3/14/00,AAPL,1.082310268,1.109375,1.017857143,1.020089286
3/15/00,AAPL,1.032366071,1.073660714,1.018973214,1.037946429
3/16/00,AAPL,1.047433036,1.089285714,1.022321429,1.085379464
3/17/00,AAPL,1.072544643,1.116071429,1.068080357,1.116071429
3/20/00,AAPL,1.102678571,1.127232143,1.092633929,1.098214286
3/21/00,AAPL,1.094308036,1.220982143,1.0859375,1.204799107
3/22/00,AAPL,1.185546875,1.2890625,1.174665179,1.287388393
3/23/00,AAPL,1.267857143,1.342633929,1.25,1.26171875
3/24/00,AAPL,1.271763393,1.28515625,1.209821429,1.23828125
3/27/00,AAPL,1.228794643,1.292410714,1.222098214,1.24609375
3/28/00,AAPL,1.225446429,1.267857143,1.224330357,1.2421875
3/29/00,AAPL,1.244419643,1.244977679,1.194893973,1.213727679
3/30/00,AAPL,1.192522321,1.229352679,1.119977679,1.122767857
3/31/00,AAPL,1.137834821,1.225446429,1.125,1.212611607
4/3/00,AAPL,1.209821429,1.245535714,1.155691964,1.190290179
4/4/00,AAPL,1.184151786,1.1875,1.042410714,1.13671875
4/5/00,AAPL,1.129185268,1.186383929,1.107142857,1.1640625
4/6/00,AAPL,1.166294643,1.200892857,1.100446429,1.117745536
