Datetime,Open,High,Low,Close,MA50
1/1/07 0:00,1.31908,1.32176,1.3165,1.3212,0
1/2/07 0:00,1.32137,1.32951,1.32101,1.32724,0
1/3/07 0:00,1.32702,1.32903,1.31461,1.3169,0
1/4/07 0:00,1.31689,1.31783,1.30704,1.3086,0
1/5/07 0:00,1.30866,1.31029,1.29804,1.29995,0
1/7/07 0:00,1.30097,1.30141,1.30006,1.30039,0
1/8/07 0:00,1.30055,1.30389,1.29722,1.30356,0
1/9/07 0:00,1.3035,1.30517,1.29855,1.29919,0
1/10/07 0:00,1.29921,1.30002,1.29261,1.29347,0
1/11/07 0:00,1.29345,1.30124,1.28804,1.2891,0
1/12/07 0:00,1.28909,1.29418,1.28668,1.29212,0
1/14/07 0:00,1.29219,1.29276,1.29152,1.29242,0
1/15/07 0:00,1.29254,1.2955,1.29121,1.29299,0
1/16/07 0:00,1.29338,1.29875,1.29062,1.29165,0
1/17/07 0:00,1.29159,1.29494,1.28973,1.29368,0
1/18/07 0:00,1.29372,1.29756,1.28971,1.2959,0
1/19/07 0:00,1.29594,1.29998,1.29129,1.29536,0
1/21/07 0:00,1.29592,1.29636,1.29505,1.2959,0
1/22/07 0:00,1.29597,1.29769,1.29201,1.29466,0
1/23/07 0:00,1.29486,1.30423,1.29288,1.302,0
1/24/07 0:00,1.30195,1.30357,1.29475,1.29609,0
1/25/07 0:00,1.2959,1.30002,1.29139,1.29357,0
1/26/07 0:00,1.29329,1.29391,1.28807,1.29144,0
1/28/07 0:00,1.29147,1.29246,1.29128,1.29192,0
1/29/07 0:00,1.29215,1.29655,1.28948,1.29601,0
1/30/07 0:00,1.29608,1.298,1.29436,1.29617,0
1/31/07 0:00,1.2963,1.30356,1.29239,1.30175,0
2/1/07 0:00,1.30211,1.30482,1.30011,1.30123,0
2/2/07 0:00,1.3014,1.30615,1.29474,1.29562,0
2/4/07 0:00,1.2961,1.29621,1.29498,1.29582,0
2/5/07 0:00,1.29597,1.29651,1.29126,1.29316,0
2/6/07 0:00,1.29302,1.29904,1.29095,1.29802,0
2/7/07 0:00,1.2982,1.30232,1.29647,1.30209,0
2/8/07 0:00,1.30208,1.30428,1.29759,1.30343,0
2/9/07 0:00,1.30359,1.30452,1.29817,1.30047,0
2/11/07 0:00,1.2989,1.30237,1.29851,1.30167,0
2/12/07 0:00,1.30147,1.30359,1.2939,1.2956,0
2/13/07 0:00,1.29546,1.30426,1.29498,1.30298,0
2/14/07 0:00,1.30264,1.31488,1.30218,1.31368,0
2/15/07 0:00,1.31346,1.31716,1.31173,1.31329,0
2/16/07 0:00,1.31316,1.31443,1.30958,1.31356,0
2/18/07 0:00,1.31364,1.31621,1.31338,1.31465,0
2/19/07 0:00,1.31462,1.3161,1.31201,1.31498,0
2/20/07 0:00,1.31492,1.31881,1.31271,1.3146,0
2/21/07 0:00,1.31434,1.31648,1.31116,1.31361,0
2/22/07 0:00,1.31354,1.31404,1.30796,1.31212,0
2/23/07 0:00,1.31227,1.31863,1.31013,1.31627,0
2/25/07 0:00,1.3165,1.3186,1.31629,1.318,0
2/26/07 0:00,1.31808,1.31971,1.31491,1.31911,0
2/27/07 0:00,1.31911,1.32578,1.31579,1.32259,0
2/28/07 0:00,1.32297,1.32369,1.31787,1.32271,1.3029956
3/1/07 0:00,1.32255,1.32389,1.31547,1.31644,1.3030258
3/2/07 0:00,1.31656,1.31998,1.31408,1.31882,1.3028098
3/4/07 0:00,1.31949,1.32101,1.31817,1.3182,1.3028482
3/5/07 0:00,1.31802,1.31926,1.30723,1.3084,1.3030402
3/6/07 0:00,1.30813,1.3139,1.30798,1.31332,1.3032092
3/7/07 0:00,1.31338,1.31844,1.31086,1.31747,1.3034678
3/8/07 0:00,1.31735,1.31813,1.31154,1.31365,1.303746
3/9/07 0:00,1.31343,1.31583,1.30864,1.31118,1.3040352
3/11/07 0:00,1.31236,1.31415,1.31068,1.31242,1.3043894
3/12/07 0:00,1.31221,1.31992,1.31054,1.3186,1.3048558
3/13/07 0:00,1.31857,1.32186,1.31547,1.31867,1.3053854
3/14/07 0:00,1.31856,1.3244,1.31764,1.32318,1.3059104
3/15/07 0:00,1.32323,1.32791,1.31919,1.32783,1.3065142
3/16/07 0:00,1.3278,1.33381,1.32722,1.33106,1.3072378
3/18/07 0:00,1.33064,1.33196,1.33064,1.33161,1.3079854
3/19/07 0:00,1.33142,1.33241,1.3278,1.33095,1.3086996
3/20/07 0:00,1.33097,1.33232,1.32701,1.33135,1.3094114
3/21/07 0:00,1.33137,1.34094,1.32861,1.33956,1.3101204
3/22/07 0:00,1.33958,1.34002,1.3309,1.33285,1.3110184
3/23/07 0:00,1.33311,1.33407,1.32762,1.32789,1.3116354
3/25/07 0:00,1.32801,1.32933,1.32571,1.32708,1.3122714
3/26/07 0:00,1.32724,1.33455,1.32534,1.33267,1.3129416
3/27/07 0:00,1.33277,1.33667,1.33013,1.33482,1.3137662
3/28/07 0:00,1.332,1.33716,1.33006,1.33082,1.3146242
3/29/07 0:00,1.33084,1.33517,1.32984,1.33285,1.3153204
3/30/07 0:00,1.33277,1.33985,1.3288,1.33535,1.316054
4/1/07 0:00,1.3371,1.3377,1.3352,1.3354,1.316726
4/2/07 0:00,1.3353,1.33802,1.33312,1.33715,1.3174094
4/3/07 0:00,1.33709,1.33802,1.33179,1.33225,1.31824
4/4/07 0:00,1.3323,1.3381,1.3321,1.3374,1.3189686
4/5/07 0:00,1.3374,1.3441,1.33525,1.34245,1.3198534
4/6/07 0:00,1.34245,1.3428,1.3364,1.3378,1.320742
4/8/07 0:00,1.3374,1.33798,1.33635,1.3368,1.3214562
4/9/07 0:00,1.3368,1.3379,1.334,1.3353,1.3221236
